# model layers (LAYER depth, Vp_top, Vp_grad, Vs_top, Vs_grad, p_top, p_grad)
LAYER  -2.0  4.15 0.00    2.37  0.00  2.7 0.0
LAYER   0.0  4.33 0.00    2.47  0.00  2.7 0.0
LAYER   4.0  6.68 0.00    3.81  0.00  2.7 0.0
LAYER  20.0  6.96 0.00    3.98  0.00  2.7 0.0
LAYER  24.0  7.16 0.00    4.09  0.00  2.7 0.0
LAYER  30.0  7.46 0.00    4.27  0.00  2.7 0.0
LAYER  32.0  7.59 0.00    4.34  0.00  2.7 0.0
LAYER  38.0  7.70 0.00    4.40  0.00  2.7 0.0
LAYER  40.0  7.88 0.00    4.50  0.00  2.7 0.0
LAYER  56.0  8.13 0.00    4.64  0.00  2.7 0.0
LAYER  58.0  8.19 0.00    4.68  0.00  2.7 0.0
