# model layers (LAYER depth, Vp_top, Vp_grad, Vs_top, Vs_grad, p_top, p_grad)
LAYER  -2.0  3.89 0.00    2.22  0.00  2.7 0.0
LAYER   0.0  4.20 0.00    2.40  0.00  2.7 0.0
LAYER   4.0  6.87 0.00    3.93  0.00  2.7 0.0
LAYER  20.0  7.12 0.00    4.07  0.00  2.7 0.0
LAYER  24.0  7.32 0.00    4.18  0.00  2.7 0.0
LAYER  30.0  7.49 0.00    4.28  0.00  2.7 0.0
LAYER  32.0  7.72 0.00    4.41  0.00  2.7 0.0
LAYER  38.0  7.85 0.00    4.48  0.00  2.7 0.0
LAYER  40.0  7.97 0.00    4.56  0.00  2.7 0.0
LAYER  44.0  8.10 0.00    4.63  0.00  2.7 0.0
LAYER  56.0  8.31 0.00    4.75  0.00  2.7 0.0
LAYER  58.0  8.37 0.00    4.78  0.00  2.7 0.0
