# model layers (LAYER depth, Vp_top, Vp_grad, Vs_top, Vs_grad, p_top, p_grad)
LAYER  -2.0  3.61 0.00    2.06  0.00  2.7 0.0
LAYER   4.0  5.63 0.00    3.22  0.00  2.7 0.0
LAYER   6.0  6.67 0.00    3.81  0.00  2.7 0.0
LAYER  18.0  6.84 0.00    3.91  0.00  2.7 0.0
LAYER  22.0  7.05 0.00    4.03  0.00  2.7 0.0
LAYER  28.0  7.41 0.00    4.23  0.00  2.7 0.0
LAYER  36.0  7.54 0.00    4.31  0.00  2.7 0.0
LAYER  38.0  7.66 0.00    4.37  0.00  2.7 0.0
LAYER  40.0  7.76 0.00    4.43  0.00  2.7 0.0
LAYER  44.0  7.91 0.00    4.52  0.00  2.7 0.0
LAYER  56.0  8.09 0.00    4.62  0.00  2.7 0.0
LAYER  58.0  8.15 0.00    4.66  0.00  2.7 0.0
