# model layers (LAYER depth, Vp_top, Vp_grad, Vs_top, Vs_grad, p_top, p_grad)
LAYER  -2.0  5.21 0.00    2.98  0.00  2.7 0.0
LAYER   0.0  5.39 0.00    3.08  0.00  2.7 0.0
LAYER   4.0  7.08 0.00    4.04  0.00  2.7 0.0
LAYER  22.0  7.25 0.00    4.14  0.00  2.7 0.0
LAYER  26.0  7.38 0.00    4.22  0.00  2.7 0.0
LAYER  28.0  7.42 0.00    4.24  0.00  2.7 0.0
LAYER  30.0  7.51 0.00    4.29  0.00  2.7 0.0
LAYER  32.0  7.79 0.00    4.45  0.00  2.7 0.0
LAYER  38.0  7.88 0.00    4.50  0.00  2.7 0.0
LAYER  40.0  7.94 0.00    4.54  0.00  2.7 0.0
LAYER  42.0  8.11 0.00    4.63  0.00  2.7 0.0
LAYER  46.0  8.22 0.00    4.70  0.00  2.7 0.0
LAYER  56.0  8.33 0.00    4.76  0.00  2.7 0.0
LAYER  58.0  8.46 0.00    4.83  0.00  2.7 0.0
